	Stance
513	FAVOR
514	FAVOR
515	FAVOR
516	FAVOR
517	FAVOR
518	FAVOR
519	FAVOR
520	FAVOR
521	FAVOR
522	AGAINST
523	FAVOR
524	FAVOR
525	FAVOR
526	FAVOR
527	FAVOR
528	FAVOR
529	FAVOR
530	FAVOR
531	NONE
532	NONE
533	FAVOR
534	FAVOR
535	NONE
536	FAVOR
537	FAVOR
538	FAVOR
539	FAVOR
540	NONE
541	FAVOR
542	NONE
543	NONE
544	FAVOR
545	NONE
546	NONE
547	NONE
548	NONE
549	NONE
550	FAVOR
551	FAVOR
552	NONE
553	FAVOR
554	FAVOR
555	NONE
556	FAVOR
557	NONE
558	NONE
559	AGAINST
560	FAVOR
561	FAVOR
562	FAVOR
563	NONE
564	FAVOR
565	NONE
566	FAVOR
567	NONE
568	FAVOR
569	NONE
570	NONE
571	NONE
572	NONE
573	NONE
574	NONE
575	FAVOR
576	FAVOR
577	FAVOR
578	NONE
579	NONE
580	NONE
581	FAVOR
582	FAVOR
583	FAVOR
584	NONE
585	NONE
586	NONE
587	AGAINST
588	NONE
589	FAVOR
590	NONE
591	FAVOR
592	AGAINST
593	NONE
594	NONE
595	NONE
596	NONE
597	FAVOR
598	FAVOR
599	NONE
600	FAVOR
601	NONE
602	FAVOR
603	NONE
604	FAVOR
605	NONE
606	FAVOR
607	NONE
608	NONE
609	NONE
610	NONE
611	NONE
612	FAVOR
613	NONE
614	FAVOR
615	FAVOR
616	NONE
617	FAVOR
618	NONE
619	FAVOR
620	FAVOR
621	FAVOR
622	NONE
623	NONE
624	FAVOR
625	FAVOR
626	NONE
627	FAVOR
628	NONE
629	NONE
630	NONE
631	FAVOR
632	FAVOR
633	NONE
634	FAVOR
635	FAVOR
636	NONE
637	NONE
638	NONE
639	FAVOR
640	FAVOR
641	NONE
642	NONE
643	NONE
644	NONE
645	FAVOR
646	NONE
647	FAVOR
648	NONE
649	FAVOR
650	NONE
651	NONE
652	NONE
653	NONE
654	FAVOR
655	NONE
656	FAVOR
657	FAVOR
658	NONE
659	FAVOR
660	FAVOR
661	NONE
662	NONE
663	FAVOR
664	FAVOR
665	FAVOR
666	NONE
667	FAVOR
668	NONE
669	NONE
670	FAVOR
671	FAVOR
672	FAVOR
673	NONE
674	FAVOR
675	FAVOR
676	FAVOR
677	FAVOR
678	NONE
679	NONE
680	NONE
681	FAVOR
682	NONE
683	NONE
684	FAVOR
685	FAVOR
686	FAVOR
687	NONE
688	FAVOR
689	NONE
690	NONE
691	FAVOR
692	NONE
693	FAVOR
694	NONE
695	FAVOR
696	FAVOR
697	FAVOR
698	NONE
699	NONE
700	FAVOR
701	NONE
702	NONE
703	FAVOR
704	NONE
705	NONE
706	NONE
707	NONE
708	NONE
709	FAVOR
710	FAVOR
711	FAVOR
712	FAVOR
713	FAVOR
714	NONE
715	FAVOR
716	NONE
717	NONE
718	NONE
719	FAVOR
720	FAVOR
721	FAVOR
722	NONE
723	NONE
724	FAVOR
725	NONE
726	FAVOR
727	FAVOR
728	FAVOR
729	NONE
730	FAVOR
731	FAVOR
732	FAVOR
733	FAVOR
734	NONE
735	NONE
736	NONE
737	NONE
738	NONE
739	FAVOR
740	FAVOR
741	FAVOR
742	FAVOR
743	FAVOR
744	FAVOR
745	FAVOR
746	FAVOR
747	FAVOR
748	FAVOR
749	NONE
750	NONE
751	FAVOR
752	FAVOR
753	FAVOR
754	FAVOR
755	FAVOR
756	FAVOR
757	NONE
758	FAVOR
759	NONE
760	NONE
761	FAVOR
762	FAVOR
763	FAVOR
764	FAVOR
765	NONE
766	NONE
767	NONE
768	FAVOR
769	FAVOR
770	FAVOR
771	FAVOR
772	FAVOR
773	FAVOR
774	NONE
775	NONE
776	FAVOR
777	FAVOR
778	FAVOR
779	FAVOR
780	FAVOR
781	FAVOR
782	NONE
783	NONE
784	FAVOR
785	NONE
786	NONE
787	FAVOR
788	FAVOR
789	FAVOR
790	FAVOR
791	FAVOR
792	FAVOR
793	FAVOR
794	FAVOR
795	NONE
796	FAVOR
797	NONE
798	FAVOR
799	FAVOR
800	FAVOR
801	FAVOR
802	AGAINST
803	AGAINST
804	AGAINST
805	AGAINST
806	NONE
807	AGAINST
808	NONE
809	NONE
810	NONE
811	NONE
812	NONE
813	FAVOR
814	FAVOR
815	FAVOR
816	NONE
817	FAVOR
818	FAVOR
819	FAVOR
820	NONE
821	NONE
822	NONE
823	FAVOR
824	FAVOR
825	FAVOR
826	FAVOR
827	FAVOR
828	FAVOR
829	FAVOR
830	FAVOR
831	NONE
832	FAVOR
833	FAVOR
834	FAVOR
835	FAVOR
836	FAVOR
837	NONE
838	FAVOR
839	NONE
840	FAVOR
841	NONE
842	NONE
843	FAVOR
844	AGAINST
845	AGAINST
846	AGAINST
847	AGAINST
848	AGAINST
849	FAVOR
850	FAVOR
851	NONE
852	AGAINST
853	NONE
854	NONE
855	FAVOR
856	FAVOR
857	FAVOR
858	NONE
859	FAVOR
860	NONE
861	NONE
862	NONE
863	FAVOR
864	NONE
865	FAVOR
866	NONE
867	FAVOR
868	FAVOR
869	NONE
870	FAVOR
871	NONE
872	FAVOR
873	FAVOR
874	FAVOR
875	NONE
876	FAVOR
877	NONE
878	FAVOR
879	FAVOR
880	NONE
881	FAVOR
882	NONE
883	FAVOR
884	NONE
885	NONE
886	NONE
887	NONE
888	NONE
889	NONE
890	NONE
891	NONE
892	FAVOR
893	NONE
894	FAVOR
895	NONE
896	NONE
897	NONE
898	NONE
899	FAVOR
900	FAVOR
901	FAVOR
902	NONE
903	FAVOR
904	FAVOR
905	FAVOR
906	FAVOR
907	FAVOR
